PO_ID,PO_Line_Item_ID,Order_Creation_DateTime,Acknowledgement_DateTime,Order_Quantity,Order_Volume,Order_Weight,Priority_Flag,Fulfiller_ID,Routing_Lane_ID,Fulfiller_Throughput,Fulfiller_Calendar,Total_Backlog_Ack,Current_Backlog,Relative_Queue_Position,Estimated_Processing_Rate,Days_in_Queue,Day_of_Week,Day_of_Month,Peak_Season,Demand_Surge,Recent_Shipments,Lead_Time_Trend,Lead_Time,Month,Season,On_Time_Performance,Product_Category,Geography,Carrier,Expected_Ship_Date,P50_Confidence,P90_Confidence,Reasoning_Context,Probability_On_Time,On_Time_Performance_Metric,EDD_Accuracy,P50_Calibration,P90_Calibration,Fill_Rate,Lead_Time_Stability,Vendor_Accuracy_Score
PO00236,L00236,2023-10-08 14:57:00,2023-10-09 21:57:00,446,2.53,2.61,Standard,F101,C3-G1,143,1,4264,4248,83,29.81818182,13,6,8,1,1,7,0.81,13,10,Winter,0.91,PC8,Region4,USPS,2023-10-22 21:57:00,13,15,Based on backlog and throughput,0.75,0.93,0.99,0.73,0.89,0.93,0.91,71
PO00237,L00237,2023-03-23 23:55:00,2023-03-26 01:55:00,121,3.73,18.88,Overnight,F195,C10-G3,198,1,3229,3198,37,16.30808081,14,3,23,1,1,230,1.12,14,3,Fall,0.93,PC6,Region4,DHL,2023-04-09 01:55:00,14,15,Based on backlog and throughput,0.83,0.89,1,0.77,0.88,0.97,0.95,82
PO00238,L00238,2023-09-01 14:16:00,2023-09-04 19:16:00,116,2.91,13.66,Standard,F132,C10-G2,161,1,3745,3705,81,23.26086957,8,4,1,1,1,332,1.04,6,9,Summer,0.94,PC5,Region2,UPS,2023-09-10 19:16:00,6,8,Based on backlog and throughput,0.77,0.87,0.97,0.8,0.92,0.94,0.87,96
PO00239,L00239,2023-05-07 20:17:00,2023-05-10 07:17:00,461,4.99,32.48,Standard,F125,C6-G1,104,1,2626,2493,64,25.25,10,6,7,1,1,396,1.08,7,5,Fall,0.99,PC9,Region5,USPS,2023-05-17 07:17:00,7,9,Based on backlog and throughput,0.85,0.87,1,0.79,0.88,0.94,0.8,77
PO00240,L00240,2023-09-24 15:40:00,2023-09-28 00:40:00,233,3.79,25.22,Standard,F179,C9-G4,386,0,2967,2941,90,7.686528497,12,6,24,1,1,295,0.92,4,9,Spring,0.86,PC3,Region1,FedEx,2023-10-02 00:40:00,4,5,Based on backlog and throughput,0.78,0.9,0.98,0.85,0.85,0.93,0.83,84
PO00241,L00241,2023-05-03 08:28:00,2023-05-04 13:28:00,259,3.56,13.67,Standard,F199,C4-G5,473,1,3616,3469,86,7.644820296,2,2,3,1,0,106,1,7,5,Fall,0.91,PC2,Region4,FedEx,2023-05-11 13:28:00,7,9,Based on backlog and throughput,0.95,0.81,0.98,0.82,0.84,0.96,0.82,93
PO00242,L00242,2023-02-09 22:18:00,2023-02-13 02:18:00,359,3.92,7.89,2-day,F156,C8-G5,165,1,3467,3315,62,21.01212121,4,3,9,1,1,347,1.1,10,2,Spring,0.88,PC5,Region1,USPS,2023-02-23 02:18:00,10,12,Based on backlog and throughput,0.88,0.93,0.99,0.76,0.81,0.94,0.86,90
PO00243,L00243,2023-05-01 08:21:00,2023-05-04 13:21:00,198,0.8,6.8,Overnight,F128,C3-G5,192,1,2294,2229,72,11.94791667,12,0,1,1,1,441,0.99,3,5,Spring,0.92,PC6,Region2,UPS,2023-05-07 13:21:00,3,4,Based on backlog and throughput,0.7,0.87,0.98,0.71,0.88,0.98,0.88,78
PO00244,L00244,2023-06-13 17:05:00,2023-06-14 02:05:00,456,1.1,43.3,Standard,F181,C5-G3,250,1,3655,3519,61,14.62,13,1,13,1,1,17,1.04,7,6,Spring,0.98,PC7,Region2,USPS,2023-06-21 02:05:00,7,8,Based on backlog and throughput,0.93,0.84,0.98,0.85,0.93,1,0.8,80
PO00245,L00245,2023-03-12 04:14:00,2023-03-13 13:14:00,411,3.6,12.55,2-day,F190,C7-G3,229,1,545,454,33,2.379912664,4,6,12,1,1,312,1.12,4,3,Fall,0.95,PC6,Region3,USPS,2023-03-17 13:14:00,4,6,Based on backlog and throughput,0.8,0.85,0.95,0.77,0.88,0.99,0.88,91
PO00246,L00246,2023-07-16 22:09:00,2023-07-18 08:09:00,137,2.52,32.76,Standard,F190,C2-G1,251,1,3726,3546,66,14.84462151,9,6,16,1,1,82,0.89,13,7,Summer,0.94,PC4,Region5,UPS,2023-07-31 08:09:00,13,14,Based on backlog and throughput,0.79,0.83,1,0.88,0.91,0.92,0.81,90
PO00247,L00247,2023-12-28 06:04:00,2023-12-28 17:04:00,318,3.8,40.63,2-day,F182,C9-G1,413,1,4116,4056,30,9.966101695,6,3,28,1,0,421,0.83,13,12,Fall,0.91,PC3,Region3,DHL,2024-01-10 17:04:00,13,14,Based on backlog and throughput,0.81,0.97,0.97,0.78,0.84,0.9,0.84,97
PO00248,L00248,2023-08-01 13:21:00,2023-08-05 00:21:00,165,0.6,30.9,Standard,F147,C1-G2,102,1,3975,3810,20,38.97058824,3,1,1,1,0,287,1.01,8,8,Winter,0.94,PC9,Region1,DHL,2023-08-13 00:21:00,8,10,Based on backlog and throughput,0.88,0.83,0.99,0.84,0.87,0.94,0.9,72
PO00249,L00249,2023-10-05 14:26:00,2023-10-06 21:26:00,225,2.73,43.05,Standard,F196,C3-G1,433,1,3437,3435,60,7.937644342,10,3,5,1,1,469,0.82,9,10,Summer,0.85,PC7,Region2,FedEx,2023-10-15 21:26:00,9,10,Based on backlog and throughput,0.83,0.97,0.93,0.89,0.85,0.97,0.87,76
PO00250,L00250,2023-02-01 06:53:00,2023-02-03 17:53:00,307,1.96,19.92,Standard,F175,C4-G1,229,1,361,164,82,1.576419214,3,2,1,1,1,193,1.11,7,2,Summer,0.93,PC4,Region4,DHL,2023-02-10 17:53:00,7,9,Based on backlog and throughput,0.88,0.91,0.93,0.83,0.82,1,0.89,83
PO00251,L00251,2023-08-04 12:57:00,2023-08-05 00:57:00,234,2.34,47.83,Standard,F169,C8-G2,463,1,1948,1846,74,4.207343413,6,4,4,0,0,460,1.09,8,8,Fall,0.93,PC3,Region4,USPS,2023-08-13 00:57:00,8,9,Based on backlog and throughput,0.74,0.96,0.94,0.78,0.86,0.98,0.93,84
PO00252,L00252,2023-10-27 22:01:00,2023-10-31 08:01:00,172,3.06,7.09,Standard,F194,C2-G1,466,1,4125,4071,24,8.85193133,8,4,27,1,1,214,1.15,8,10,Fall,0.9,PC7,Region5,UPS,2023-11-08 08:01:00,8,9,Based on backlog and throughput,0.98,0.89,0.98,0.81,0.91,0.96,0.9,78
PO00253,L00253,2023-10-22 12:30:00,2023-10-25 14:30:00,152,2.56,5.56,Standard,F177,C10-G4,362,0,2366,2366,4,6.535911602,14,6,22,1,0,280,1.06,2,10,Spring,0.88,PC7,Region1,FedEx,2023-10-27 14:30:00,2,4,Based on backlog and throughput,0.91,0.98,0.94,0.81,0.86,0.9,0.82,89
PO00254,L00254,2023-01-04 11:19:00,2023-01-06 14:19:00,463,2.75,33.11,2-day,F125,C8-G5,357,1,191,91,37,0.5350140056,10,2,4,1,1,219,0.83,9,1,Winter,0.96,PC7,Region3,DHL,2023-01-15 14:19:00,9,11,Based on backlog and throughput,0.77,0.84,0.98,0.82,0.9,0.98,0.84,80
PO00255,L00255,2023-07-19 13:34:00,2023-07-21 23:34:00,315,2.48,47.17,Standard,F199,C10-G5,186,1,4322,4125,4,23.23655914,3,2,19,1,0,441,0.9,6,7,Winter,0.86,PC8,Region1,USPS,2023-07-27 23:34:00,6,8,Based on backlog and throughput,0.91,0.91,0.93,0.73,0.91,0.92,0.91,76
PO00256,L00256,2023-10-07 19:57:00,2023-10-09 06:57:00,374,2.1,40.54,Standard,F192,C5-G1,231,1,4275,4231,77,18.50649351,3,5,7,0,1,458,1.12,11,10,Spring,0.86,PC9,Region1,FedEx,2023-10-20 06:57:00,11,12,Based on backlog and throughput,0.87,0.82,0.99,0.84,0.85,0.91,0.89,81
PO00257,L00257,2023-04-23 15:14:00,2023-04-27 03:14:00,160,3.88,4.28,Standard,F124,C6-G2,416,1,3409,3235,89,8.194711538,5,6,23,1,1,288,0.87,4,4,Summer,0.91,PC6,Region5,UPS,2023-05-01 03:14:00,4,6,Based on backlog and throughput,0.73,0.88,0.93,0.73,0.92,0.99,0.86,88
PO00258,L00258,2023-05-20 13:31:00,2023-05-23 14:31:00,96,0.16,14.33,Standard,F137,C10-G1,50,0,1082,1057,77,21.64,5,5,20,1,1,343,1.08,5,5,Summer,0.89,PC1,Region3,DHL,2023-05-28 14:31:00,5,7,Based on backlog and throughput,0.75,0.91,0.95,0.7,0.85,0.96,0.89,96
PO00259,L00259,2023-01-15 12:21:00,2023-01-18 21:21:00,472,3.03,46.55,Standard,F157,C1-G2,93,1,3543,3423,18,38.09677419,6,6,15,0,1,193,1.11,10,1,Fall,0.95,PC8,Region4,USPS,2023-01-28 21:21:00,10,11,Based on backlog and throughput,0.71,0.92,0.95,0.82,0.84,0.91,0.87,87
PO00260,L00260,2023-12-09 21:51:00,2023-12-13 06:51:00,233,2.87,13.03,Standard,F122,C8-G1,276,1,2633,2492,88,9.539855072,14,5,9,1,1,157,0.93,5,12,Winter,0.94,PC3,Region4,UPS,2023-12-18 06:51:00,5,6,Based on backlog and throughput,0.93,0.87,0.97,0.72,0.83,0.94,0.85,82
PO00261,L00261,2023-07-27 23:10:00,2023-07-31 07:10:00,180,3.61,39.17,2-day,F187,C8-G1,380,1,793,612,66,2.086842105,0,3,27,1,1,464,0.93,7,7,Summer,0.96,PC1,Region2,USPS,2023-08-07 07:10:00,7,8,Based on backlog and throughput,0.86,0.81,0.97,0.85,0.83,0.91,0.88,80
PO00262,L00262,2023-08-28 04:39:00,2023-08-31 12:39:00,113,3.04,41.34,Standard,F109,C6-G5,147,1,4220,4022,48,28.70748299,12,0,28,1,1,103,1.02,14,8,Fall,0.9,PC9,Region3,USPS,2023-09-14 12:39:00,14,16,Based on backlog and throughput,0.79,0.92,0.92,0.87,0.91,0.96,0.92,70
PO00263,L00263,2023-10-01 00:58:00,2023-10-01 12:58:00,318,4.15,25.02,Standard,F123,C7-G3,257,0,255,210,33,0.9922178988,10,6,1,1,1,33,1.14,9,10,Spring,0.95,PC2,Region2,USPS,2023-10-10 12:58:00,9,10,Based on backlog and throughput,0.74,0.89,0.97,0.89,0.93,0.93,0.87,75
PO00264,L00264,2023-07-21 18:36:00,2023-07-24 05:36:00,497,4.8,19.62,2-day,F122,C1-G5,314,1,3688,3567,58,11.74522293,13,4,21,1,1,101,0.89,7,7,Fall,0.97,PC2,Region5,UPS,2023-07-31 05:36:00,7,8,Based on backlog and throughput,0.84,0.83,0.96,0.83,0.83,0.99,0.9,90
PO00265,L00265,2023-12-06 00:05:00,2023-12-06 01:05:00,442,1.78,22.78,Standard,F194,C5-G5,337,0,1912,1882,83,5.673590504,2,2,6,1,1,126,1.18,9,12,Spring,0.9,PC6,Region1,FedEx,2023-12-15 01:05:00,9,11,Based on backlog and throughput,0.85,0.98,0.97,0.8,0.81,0.94,0.91,71
PO00266,L00266,2023-11-26 13:08:00,2023-11-27 23:08:00,52,1.21,11.73,2-day,F165,C1-G1,320,1,4214,4156,73,13.16875,8,6,26,0,1,213,1.04,4,11,Winter,0.9,PC6,Region4,USPS,2023-12-01 23:08:00,4,5,Based on backlog and throughput,0.9,0.98,0.97,0.77,0.85,0.95,0.9,82
PO00267,L00267,2023-08-25 05:03:00,2023-08-27 07:03:00,268,2.18,44.52,Standard,F115,C5-G1,189,1,1507,1479,28,7.973544974,5,4,25,1,0,324,1.2,10,8,Winter,0.98,PC7,Region1,FedEx,2023-09-06 07:03:00,10,11,Based on backlog and throughput,0.98,0.96,1,0.8,0.9,0.91,0.88,82
PO00268,L00268,2023-05-14 12:20:00,2023-05-14 21:20:00,295,1.51,22.81,Standard,F148,C4-G5,286,1,1316,1211,35,4.601398601,5,6,14,1,1,431,0.84,14,5,Summer,0.86,PC3,Region1,FedEx,2023-05-28 21:20:00,14,16,Based on backlog and throughput,0.83,0.96,0.98,0.74,0.86,0.93,0.82,88
PO00269,L00269,2023-04-19 14:20:00,2023-04-23 02:20:00,386,3.11,44.18,Standard,F105,C2-G1,490,1,1510,1494,10,3.081632653,4,2,19,1,0,295,0.85,10,4,Fall,0.9,PC7,Region4,DHL,2023-05-03 02:20:00,10,11,Based on backlog and throughput,0.82,0.82,0.99,0.77,0.88,0.97,0.84,78
PO00270,L00270,2023-06-22 12:17:00,2023-06-25 00:17:00,387,4.57,5.73,Standard,F154,C4-G5,441,1,3597,3456,65,8.156462585,10,3,22,1,0,178,1.13,4,6,Winter,0.87,PC1,Region4,DHL,2023-06-29 00:17:00,4,6,Based on backlog and throughput,0.81,0.99,0.94,0.84,0.91,0.97,0.85,88
PO00271,L00271,2023-08-04 08:53:00,2023-08-07 09:53:00,113,0.78,49.42,Standard,F135,C7-G2,121,1,4472,4309,42,36.95867769,2,4,4,1,0,79,1.15,6,8,Summer,0.85,PC7,Region3,FedEx,2023-08-13 09:53:00,6,8,Based on backlog and throughput,0.94,0.88,0.95,0.74,0.86,0.92,0.88,92
PO00272,L00272,2023-02-11 15:01:00,2023-02-11 16:01:00,101,0.59,22.44,2-day,F171,C4-G5,204,1,4940,4755,85,24.21568627,10,5,11,1,0,140,0.98,8,2,Fall,0.87,PC1,Region4,DHL,2023-02-19 16:01:00,8,10,Based on backlog and throughput,0.75,0.83,0.99,0.75,0.95,0.95,0.95,70
PO00273,L00273,2023-10-04 01:22:00,2023-10-06 04:22:00,113,1.35,2.87,Standard,F133,C4-G5,239,1,651,628,9,2.723849372,4,2,4,1,0,473,1.09,14,10,Fall,0.91,PC3,Region2,DHL,2023-10-20 04:22:00,14,16,Based on backlog and throughput,0.8,0.95,0.95,0.85,0.84,0.98,0.9,92
PO00274,L00274,2023-04-25 20:04:00,2023-04-27 03:04:00,440,3.66,2.38,Standard,F116,C3-G5,317,0,3494,3386,60,11.02208202,13,1,25,1,1,30,1.15,9,4,Summer,0.95,PC10,Region4,FedEx,2023-05-06 03:04:00,9,11,Based on backlog and throughput,0.91,0.84,0.98,0.74,0.95,0.94,0.83,94
PO00275,L00275,2023-11-30 01:48:00,2023-12-02 07:48:00,81,3.01,37.44,2-day,F120,C9-G4,370,1,1276,1086,15,3.448648649,0,3,30,1,0,371,0.82,1,11,Fall,0.89,PC1,Region1,UPS,2023-12-03 07:48:00,1,2,Based on backlog and throughput,0.7,0.9,0.95,0.75,0.83,0.91,0.89,97
PO00276,L00276,2023-01-16 07:12:00,2023-01-19 19:12:00,187,0.6,33.12,2-day,F174,C2-G5,156,1,4834,4744,99,30.98717949,2,0,16,1,1,422,1.03,1,1,Winter,0.97,PC9,Region1,DHL,2023-01-20 19:12:00,1,3,Based on backlog and throughput,0.78,0.82,0.99,0.7,0.82,0.94,0.87,96
PO00277,L00277,2023-01-11 19:09:00,2023-01-13 00:09:00,113,4.6,40.21,Overnight,F132,C6-G4,281,1,4432,4408,57,15.77224199,3,2,11,1,0,62,1.14,13,1,Summer,0.91,PC5,Region3,DHL,2023-01-26 00:09:00,13,15,Based on backlog and throughput,0.89,0.89,0.99,0.84,0.91,0.96,0.92,77
PO00278,L00278,2023-05-03 04:30:00,2023-05-03 11:30:00,2,3.97,5.72,Overnight,F100,C7-G1,91,1,1097,911,69,12.05494505,4,2,3,1,1,47,0.96,8,5,Winter,0.99,PC7,Region1,UPS,2023-05-11 11:30:00,8,10,Based on backlog and throughput,0.75,0.91,0.94,0.82,0.91,0.9,0.81,92
PO00279,L00279,2023-12-09 03:36:00,2023-12-09 07:36:00,130,0.21,2.26,Standard,F142,C3-G2,239,1,4176,4145,22,17.47280335,9,5,9,1,1,86,0.92,11,12,Summer,0.98,PC7,Region2,UPS,2023-12-20 07:36:00,11,13,Based on backlog and throughput,0.79,0.88,0.99,0.84,0.92,0.93,0.81,95
PO00280,L00280,2023-04-22 14:44:00,2023-04-25 15:44:00,220,3.29,25.67,Standard,F159,C9-G4,420,1,2831,2716,64,6.74047619,8,5,22,1,1,303,1.12,7,4,Spring,0.96,PC9,Region3,UPS,2023-05-02 15:44:00,7,8,Based on backlog and throughput,0.84,0.81,0.95,0.74,0.85,0.96,0.93,83
PO00281,L00281,2023-05-12 11:10:00,2023-05-12 22:10:00,54,3.88,19.69,2-day,F190,C9-G3,188,1,4037,3956,41,21.47340426,3,4,12,1,1,60,0.93,9,5,Winter,0.98,PC5,Region4,FedEx,2023-05-21 22:10:00,9,10,Based on backlog and throughput,0.82,0.89,0.91,0.84,0.94,1,0.84,93
PO00282,L00282,2023-11-07 19:47:00,2023-11-09 00:47:00,343,1.93,23.37,Standard,F119,C3-G5,152,1,4152,4043,87,27.31578947,2,1,7,1,1,395,0.8,11,11,Spring,0.95,PC6,Region4,UPS,2023-11-20 00:47:00,11,12,Based on backlog and throughput,0.73,0.89,0.98,0.82,0.82,0.94,0.94,85
PO00283,L00283,2023-02-28 05:19:00,2023-03-02 10:19:00,485,0.44,49.58,2-day,F105,C10-G4,220,1,472,327,71,2.145454545,9,1,28,1,1,333,1.18,3,2,Summer,0.98,PC6,Region4,FedEx,2023-03-05 10:19:00,3,5,Based on backlog and throughput,0.97,0.85,0.97,0.77,0.8,0.92,0.86,98
PO00284,L00284,2023-02-25 18:01:00,2023-03-01 06:01:00,224,0.48,48.55,Standard,F119,C6-G3,400,1,2348,2312,56,5.87,0,5,25,1,0,439,1.04,10,2,Fall,0.88,PC1,Region1,USPS,2023-03-11 06:01:00,10,11,Based on backlog and throughput,0.71,0.98,0.99,0.79,0.85,0.95,0.92,73
PO00285,L00285,2023-06-09 18:43:00,2023-06-11 02:43:00,225,0.61,47.14,Standard,F141,C9-G3,322,1,948,923,23,2.944099379,12,4,9,1,1,273,1.13,12,6,Spring,0.9,PC5,Region1,USPS,2023-06-23 02:43:00,12,13,Based on backlog and throughput,0.92,0.88,0.95,0.81,0.92,0.93,0.93,87
PO00286,L00286,2023-07-12 12:45:00,2023-07-15 17:45:00,385,4.22,39.3,2-day,F176,C6-G4,465,0,2656,2520,25,5.711827957,9,2,12,1,1,410,1.13,5,7,Summer,0.96,PC9,Region5,UPS,2023-07-20 17:45:00,5,7,Based on backlog and throughput,0.72,0.96,0.98,0.8,0.9,0.92,0.95,83
PO00287,L00287,2023-04-12 02:37:00,2023-04-15 03:37:00,403,4.56,18.06,Standard,F106,C7-G3,270,0,2422,2359,91,8.97037037,5,2,12,1,1,283,0.83,3,4,Spring,0.91,PC10,Region2,UPS,2023-04-18 03:37:00,3,5,Based on backlog and throughput,0.84,0.82,0.94,0.83,0.87,0.96,0.81,99
PO00288,L00288,2023-12-20 20:15:00,2023-12-24 07:15:00,126,0.7,20.9,Standard,F199,C10-G2,262,1,603,532,6,2.301526718,6,2,20,1,1,465,0.87,5,12,Winter,0.97,PC3,Region4,USPS,2023-12-29 07:15:00,5,6,Based on backlog and throughput,0.75,0.86,0.96,0.74,0.84,0.99,0.83,96
PO00289,L00289,2023-02-22 22:49:00,2023-02-26 03:49:00,130,1.26,27.71,2-day,F180,C10-G5,390,1,3289,3142,34,8.433333333,9,2,22,1,1,79,0.92,10,2,Summer,0.97,PC7,Region2,FedEx,2023-03-08 03:49:00,10,11,Based on backlog and throughput,0.74,0.83,0.96,0.81,0.81,0.98,0.94,78
PO00290,L00290,2023-06-04 21:38:00,2023-06-05 01:38:00,53,0.91,41.61,2-day,F178,C4-G4,473,1,802,621,63,1.695560254,14,6,4,0,1,179,0.93,1,6,Summer,0.89,PC8,Region4,FedEx,2023-06-06 01:38:00,1,2,Based on backlog and throughput,0.74,0.88,0.92,0.79,0.85,0.92,0.86,84
PO00291,L00291,2023-03-03 18:50:00,2023-03-04 06:50:00,172,1.01,3.9,Standard,F184,C9-G3,456,1,3725,3620,9,8.168859649,7,4,3,1,1,271,1.06,14,3,Fall,0.97,PC4,Region3,UPS,2023-03-18 06:50:00,14,15,Based on backlog and throughput,0.83,0.82,0.92,0.79,0.87,0.98,0.92,72
PO00292,L00292,2023-01-22 11:34:00,2023-01-22 11:34:00,218,4.2,21.5,Standard,F138,C6-G4,105,1,414,329,60,3.942857143,11,6,22,0,1,76,1.05,11,1,Summer,0.87,PC9,Region2,UPS,2023-02-02 11:34:00,11,13,Based on backlog and throughput,0.85,0.88,0.92,0.79,0.9,0.92,0.91,99
PO00293,L00293,2023-08-08 21:23:00,2023-08-11 07:23:00,160,1.73,4.59,Standard,F162,C8-G4,439,1,2476,2319,49,5.640091116,0,1,8,1,0,441,1,4,8,Winter,0.9,PC10,Region2,UPS,2023-08-15 07:23:00,4,6,Based on backlog and throughput,0.74,0.87,0.99,0.88,0.9,0.93,0.82,96
PO00294,L00294,2023-02-05 16:41:00,2023-02-06 02:41:00,198,1.63,25.98,Standard,F173,C1-G1,391,1,1140,1088,97,2.915601023,11,6,5,1,1,220,0.88,6,2,Summer,0.92,PC10,Region1,USPS,2023-02-12 02:41:00,6,8,Based on backlog and throughput,0.98,0.84,0.99,0.86,0.94,0.99,0.93,73
PO00295,L00295,2023-06-24 00:54:00,2023-06-25 11:54:00,416,1.21,45,Standard,F170,C5-G5,483,1,4478,4387,51,9.271221532,3,5,24,1,1,392,0.95,2,6,Summer,0.88,PC8,Region5,DHL,2023-06-27 11:54:00,2,4,Based on backlog and throughput,0.77,0.92,0.98,0.83,0.82,0.99,0.86,92
PO00296,L00296,2023-08-04 15:06:00,2023-08-05 23:06:00,247,3.08,39.23,Standard,F145,C1-G5,151,1,3090,2992,60,20.46357616,10,4,4,1,0,281,1.02,13,8,Winter,0.93,PC6,Region1,UPS,2023-08-18 23:06:00,13,15,Based on backlog and throughput,0.83,0.98,1,0.84,0.85,0.92,0.89,87
PO00297,L00297,2023-08-10 11:40:00,2023-08-11 19:40:00,324,1.96,11.78,Standard,F109,C3-G3,470,1,357,167,70,0.7595744681,4,3,10,1,0,27,0.99,7,8,Spring,0.93,PC7,Region2,FedEx,2023-08-18 19:40:00,7,8,Based on backlog and throughput,0.76,0.84,0.95,0.71,0.87,0.91,0.92,83
PO00298,L00298,2023-08-24 22:09:00,2023-08-26 03:09:00,439,3.75,48.81,Standard,F190,C1-G3,241,1,674,664,37,2.796680498,1,3,24,1,1,360,0.85,8,8,Spring,0.88,PC4,Region3,DHL,2023-09-03 03:09:00,8,10,Based on backlog and throughput,0.84,0.94,1,0.85,0.9,0.93,0.88,84
PO00299,L00299,2023-08-11 05:46:00,2023-08-14 12:46:00,203,1.11,33.53,2-day,F140,C4-G2,359,1,4769,4739,31,13.28412256,0,4,11,0,1,76,1.06,1,8,Winter,0.96,PC5,Region1,FedEx,2023-08-15 12:46:00,1,3,Based on backlog and throughput,0.92,0.94,0.99,0.8,0.87,0.96,0.81,77
PO00300,L00300,2023-09-25 20:17:00,2023-09-27 08:17:00,184,3.96,1.02,Standard,F167,C6-G1,249,1,1652,1476,98,6.634538153,7,0,25,1,0,163,0.83,13,9,Spring,0.94,PC2,Region5,DHL,2023-10-10 08:17:00,13,14,Based on backlog and throughput,0.85,0.89,0.94,0.76,0.94,0.99,0.83,97
PO00301,L00301,2023-11-12 17:49:00,2023-11-16 03:49:00,123,3.06,13.14,Standard,F128,C5-G5,282,1,4618,4519,41,16.37588652,5,6,12,1,1,8,0.95,4,11,Summer,0.89,PC1,Region4,USPS,2023-11-20 03:49:00,4,6,Based on backlog and throughput,0.78,0.97,0.9,0.73,0.89,0.91,0.93,79
PO00302,L00302,2023-09-05 14:27:00,2023-09-06 16:27:00,401,0.66,13.41,Overnight,F123,C9-G5,482,1,857,771,62,1.778008299,4,1,5,0,0,174,1.08,11,9,Summer,0.88,PC9,Region2,DHL,2023-09-17 16:27:00,11,12,Based on backlog and throughput,0.77,0.98,0.99,0.72,0.81,0.94,0.82,93
PO00303,L00303,2023-10-31 08:20:00,2023-11-03 14:20:00,255,2.13,3.93,Standard,F166,C10-G5,276,1,2910,2764,93,10.54347826,12,1,31,1,1,461,0.81,4,10,Summer,0.97,PC6,Region1,FedEx,2023-11-07 14:20:00,4,6,Based on backlog and throughput,0.92,0.87,0.94,0.71,0.82,0.93,0.81,81
PO00304,L00304,2023-05-06 02:17:00,2023-05-06 13:17:00,294,4.33,48.01,2-day,F108,C3-G1,420,1,1204,1065,58,2.866666667,8,5,6,0,1,306,1.03,13,5,Summer,0.97,PC7,Region1,DHL,2023-05-19 13:17:00,13,15,Based on backlog and throughput,0.73,0.92,0.98,0.73,0.91,0.9,0.91,90
PO00305,L00305,2023-08-19 07:48:00,2023-08-20 14:48:00,280,4.62,24.17,Standard,F164,C1-G4,188,1,4624,4610,14,24.59574468,12,5,19,1,1,75,0.93,5,8,Summer,0.88,PC3,Region3,USPS,2023-08-25 14:48:00,5,7,Based on backlog and throughput,0.81,0.93,0.99,0.71,0.91,0.98,0.9,78
PO00306,L00306,2023-08-26 18:39:00,2023-08-30 00:39:00,325,2.38,44.84,Standard,F120,C6-G2,393,1,3559,3401,36,9.055979644,10,5,26,0,1,244,0.8,14,8,Winter,0.85,PC9,Region2,FedEx,2023-09-13 00:39:00,14,15,Based on backlog and throughput,0.74,0.88,0.99,0.85,0.82,0.98,0.93,77
PO00307,L00307,2023-12-09 12:21:00,2023-12-09 23:21:00,372,2.46,16.45,2-day,F153,C3-G3,354,1,4092,3922,36,11.55932203,12,5,9,0,1,121,0.88,12,12,Summer,0.96,PC9,Region4,UPS,2023-12-21 23:21:00,12,14,Based on backlog and throughput,0.77,0.86,0.92,0.75,0.81,0.92,0.9,86
PO00308,L00308,2023-01-15 15:54:00,2023-01-16 18:54:00,98,4.6,6.7,2-day,F169,C6-G5,198,1,303,203,79,1.53030303,10,6,15,0,1,184,1.18,12,1,Spring,0.94,PC5,Region3,DHL,2023-01-28 18:54:00,12,13,Based on backlog and throughput,0.74,0.98,1,0.77,0.89,0.92,0.85,78
PO00309,L00309,2023-06-16 05:31:00,2023-06-18 17:31:00,198,2.98,23.98,Standard,F168,C4-G2,164,1,2875,2711,8,17.5304878,1,4,16,1,0,31,1.01,4,6,Winter,0.86,PC4,Region2,FedEx,2023-06-22 17:31:00,4,6,Based on backlog and throughput,0.96,0.95,0.98,0.86,0.9,0.91,0.91,82
PO00310,L00310,2023-04-19 11:51:00,2023-04-19 20:51:00,470,0.26,6.14,Standard,F151,C5-G3,499,0,2432,2404,26,4.873747495,9,2,19,1,1,485,1.2,9,4,Spring,0.93,PC2,Region2,DHL,2023-04-28 20:51:00,9,11,Based on backlog and throughput,0.91,0.82,0.95,0.72,0.82,0.95,0.95,99
PO00311,L00311,2023-05-13 10:17:00,2023-05-13 22:17:00,395,4.57,24.56,Overnight,F111,C2-G5,112,1,2092,1979,36,18.67857143,11,5,13,1,1,450,1.01,7,5,Summer,0.91,PC9,Region1,USPS,2023-05-20 22:17:00,7,8,Based on backlog and throughput,0.86,0.82,0.97,0.87,0.87,0.92,0.9,83
PO00312,L00312,2023-11-02 22:56:00,2023-11-04 03:56:00,240,1.32,46.05,Standard,F144,C7-G5,153,1,2343,2237,48,15.31372549,7,3,2,1,1,249,1.02,13,11,Summer,0.96,PC9,Region5,FedEx,2023-11-17 03:56:00,13,14,Based on backlog and throughput,0.77,0.98,0.96,0.83,0.85,0.95,0.88,74
PO00313,L00313,2023-05-22 17:00:00,2023-05-24 20:00:00,144,2.93,26.28,2-day,F128,C4-G1,388,0,406,253,85,1.046391753,10,0,22,1,1,56,0.96,2,5,Fall,0.88,PC5,Region2,UPS,2023-05-26 20:00:00,2,4,Based on backlog and throughput,0.85,0.82,0.97,0.77,0.94,0.94,0.87,78
